4000,RC5+ / RC6 / RC6 E / RC8 / RC8R,,,,,
CITROEN ,ZX 2.0 Volcane ,91-97,4000,,4034T11,Bendix
DACIA,Logan,03-,4000,,,
PEUGEOT,205 1.9 GTI (130CV),87-93,4000,,4034T11,Bendix
,309 1.9 GTI (130CV),84-94,4000,,4034T11,Bendix
,309 1.9 GTI 16V (160CV),87-94,4000,,4034T11,Bendix
RENAULT,Alpine 2500 2.5,85-90,4000,,4007,Bendix
,Alpine 2500 2.5,,4000,,4034T11,Bendix
,Alpine 2800 2.8,85-90,4000,,4007,Bendix
,Alpine 2800 2.8 V6 Turbo,,4000,,4034T11,Bendix
,Alpine GTA GT / V6 Turbo,85-90,4000,,4034T11,Bendix
,Clio (1) 1.8 16V (136CV) ,90-98,4000,,4034T11,Bendix
,Clio (1) 2.0 16V Williams (147CV),93-98,4000,,4034T11,Bendix
,R11 Turbo,84-87,4000,,4034T11,Bendix
,R5 1.6 GT Turbo,86-91,4000,,4034T11,Bendix
,R5 Super 1.4 GT Turbo (120CV),85-91,4000,,4034T11,Bendix
,Twingo 1.2 16V / 1.2 GT,,4000,,,
,,,,,,
4001,RC5+ / RC6 / RC6 E / RC8 / RC8R,,,,,
AUDI,80 2.2 RS2 Turbo 20V Quattro,93-96,4001,ATE,4038,Lucas
FERRARI,80 GT,94-96,,,4001,ATE
HOLDEN,GTS 5.7,99-,4001,,,
,Harrop,,4001,4 pistons,,
,HSV Maloo,,4001,Brembo,,
,HSV Monaro GTO LE,,4001,Brembo,,
,HSV R8 Clubsport ,,4001,Brembo,,
,HSV VT - VX GTS R8 Premium,98-02,4001,,,
,HSV VX Prenium,,4001,,,
PORSCHE,911 (911) 3.3 Turbo,90-91,4001,ATE,4002,ATE
,911 (911) 3.6 Carrera RS,91-93,4001,ATE,4002,ATE
,911 (911) 3.6 Turbo,95-98,4005T17,,4001,ATE
,911 (911) 3.6 Turbo / New Carrera (Turbo),93-98,4001,ATE,4002,ATE
,911 (911) 3.8 Carrera ,95-,4001,ATE,4002,ATE
,911 (911) Carrera 2 Turbo Look / Carrera 2S,91-94,4005T17,ATE,4001,ATE
,911 (964) 3.3 Turbo / Turbo S,88-91,4001,ATE,4002,ATE
,911 (964) 3.6 Carrera RS,91-93,4001,ATE,4002,ATE
,911 (964) Turbo ,90-91,4001,ATE,4002,ATE
